Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6
0.545,0.45,0.15,0.7805,0.3795,0.1625,0.21600000000000005,8
0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6
0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11
0.41,0.31,0.11,0.315,0.124,0.08199999999999999,0.095,9
0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
0.525,0.42,0.155,0.8420000000000001,0.428,0.1415,0.2045,9
0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
0.49,0.37,0.11,0.5379999999999999,0.271,0.1035,0.139,8
0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7
