Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,generate column 1,generate column 2,generate column 3,generate column 4,categorical2,categorical3
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,-0.96,0.91,-0.36,-0.03,p,A
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,0.39,-0.24,-1.21,-0.6,e,W
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,0.38,-0.72,-1.75,-0.31,e,H
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,0.65,0.21,0.02,1.69,p,W
,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,1.07,2.12,0.25,-1.61,,
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,-0.58,-0.43,-0.58,-1.08,e,W
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,-1.26,1.44,0.72,-0.3,e,H
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,0.21,0.32,0.73,-1.13,e,W
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,-0.89,-0.89,-1.08,-1.76,p,W
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,1.56,-0.53,0.7,-0.89,e,B
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,-0.84,-0.52,2.48,-0.38,e,W
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,-0.91,-1.38,0.28,-1.46,e,B
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,0.73,0.64,1.1,-1.56,e,B
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,0.63,-0.53,0.08,1.11,p,W
,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,1.2,0.05,0.15,0.17,,
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,-0.84,1.02,-1.16,0.59,e,W
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,0.97,-1.03,0.25,0.92,e,W
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,-0.02,-1.34,0.69,-2.39,p,B
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,1.36,-0.34,0.91,0.14,p,W
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,0.14,-1.02,-0.31,0.78,p,W
